Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1936","Cross Country Skiing Men 18 kilometres","Erik Larsson","Sweden","Oddbj_rn Hagen","Norway","Pekka Niemi","Finland"
"1936","Cross Country Skiing Men 4 x 10 kilometres relay","Finland","Finland","Norway","Norway","Sweden","Sweden"
"1936","Cross Country Skiing Men 50 kilometres","Elis Wiklund","Sweden","Axel Wikstr_m","Sweden","Nils Englund","Sweden"
"1936","Cycling Men 1000 metres time trial","Arie van Vliet","Netherlands","Pierre Georget","France","Rudolf Karsch","Germany"
"1936","Cycling Men road race individual","Robert Charpentier","France","Guy Lap_bie","France","Ernst Nievergelt","Switzerland"
"1936","Cycling Men road race team","France","France","Switzerland","Switzerland","Belgium","Belgium"
"1936","Cycling Men sprint","Toni Merkens","Germany","Arie van Vliet","Netherlands","Louis Chaillot","France"
"1936","Cycling Men tandem sprint 2000 metres","Germany","Germany","Netherlands","Netherlands","France","France"
"1936","Cycling Men team pursuit 4000 metres","France","France","Italy","Italy","Great Britain","Great Britain"
"1936","Diving Men platform","Marshall Wayne","United States","Elbert Root","United States","Hermann Stork","Germany"
"1936","Diving Men springboard","Dick Degener","United States","Marshall Wayne","United States","Al Greene","United States"
"1936","Diving Women platform","Dorothy Poynton-Hill","United States","Velma Dunn","United States","K_the K_hler","Germany"
"1936","Diving Women springboard","Marjorie Gestring","United States","Katherine Rawls","United States","Dorothy Poynton-Hill","United States"
"1936","Equestrianism Men dressage individual","Heinz Pollay","Germany","Friedrich Gerhard","Germany","Alois Podhajsky","Austria"
"1936","Equestrianism Men dressage team","Germany","Germany","France","France","Sweden","Sweden"
"1936","Equestrianism Men jumping individual","Kurt Hasse","Germany","Henri Rang","Romania","J_zsef von Platthy","Hungary"
"1936","Equestrianism Men jumping team","Germany","Germany","Netherlands","Netherlands","Portugal","Portugal"
"1936","Equestrianism Men three day event individual","Ludwig Stubbendorf","Germany","Earl Thomson","United States","Hans Lunding","Denmark"
"1936","Equestrianism Men three day event team","Germany","Germany","Poland","Poland","Great Britain","Great Britain"
"1936","Fencing Men epee individual","Franco Riccardi","Italy","Saverio Ragno","Italy","Giancarlo Cornaggia-Medici","Italy"
"1936","Fencing Men epee team","Italy","Italy","Sweden","Sweden","France","France"
"1936","Fencing Men foil individual","Giulio Gaudini","Italy","Edward Gard_re","France","Giorgio Bocchino","Italy"
"1936","Fencing Men foil team","Italy","Italy","France","France","Germany","Germany"
"1936","Fencing Men sabre individual","Endre Kabos","Hungary","Gustavo Marzi","Italy","Alad_r Gerevich","Hungary"
"1936","Fencing Men sabre team","Hungary","Hungary","Italy","Italy","Germany","Germany"
"1936","Fencing Women foil individual","Ilona Elek-Schacherer","Hungary","Helene Mayer","Germany","Ellen M_ller-Preis","Austria"
"1936","Figure Skating Men singles","Karl Sch_fer","Austria","Ernst Baier","Germany","Felix Kaspar","Austria"
"1936","Figure Skating Mixed pairs","Germany","Germany","Austria","Austria","Hungary","Hungary"
"1936","Figure Skating Women singles","Sonja Henie","Norway","Cecilia Colledge","Great Britain","Vivi-Anne Hult_n","Sweden"
"1936","Football Men football","Italy","Italy","Austria","Austria","Norway","Norway"
"1936","Gymnastics Men floor exercise","Georges Miez","Switzerland","Josef Walter","Switzerland","['Konrad Frey', 'Eugen Mack']","['Germany', 'Switzerland']"
"1936","Gymnastics Men horizontal bar","Aleksanteri Saarvala","Finland","Konrad Frey","Germany","Alfred Schwarzmann","Germany"
"1936","Gymnastics Men horse vault","Alfred Schwarzmann","Germany","Eugen Mack","Switzerland","Matthias Volz","Germany"
"1936","Gymnastics Men individual all around","Alfred Schwarzmann","Germany","Eugen Mack","Switzerland","Konrad Frey","Germany"
"1936","Gymnastics Men parallel bars","Konrad Frey","Germany","Michael Reusch","Switzerland","Alfred Schwarzmann","Germany"
"1936","Gymnastics Men pommelled horse","Konrad Frey","Germany","Eugen Mack","Switzerland","Albert Bachmann","Switzerland"
"1936","Gymnastics Men rings","Alois Hudec","Czechoslovakia","Leon _tukelj","Yugoslavia","Matthias Volz","Germany"
"1936","Gymnastics Men team all around","Germany","Germany","Switzerland","Switzerland","Finland","Finland"
"1936","Gymnastics Women team all around","Germany","Germany","Czechoslovakia","Czechoslovakia","Hungary","Hungary"
"1936","Handball Men handball","Germany","Germany","Austria","Austria","Switzerland","Switzerland"
"1936","Hockey Men hockey","India","India","Germany","Germany","Netherlands","Netherlands"
"1936","Ice Hockey Men ice hockey","Great Britain","Great Britain","Canada","Canada","United States","United States"
"1936","Modern Pentathlon Men individual","Gotthardt Handrick","Germany","Charles Leonard","United States","Silvano Abb_","Italy"
"1936","Nordic Combined Men individual","Oddbj_rn Hagen","Norway","Olaf Hoffsbakken","Norway","Sverre Brodahl","Norway"
"1936","Polo Men polo","Argentina","Argentina","Great Britain","Great Britain","Mexico","Mexico"
"1936","Rowing Men coxed eights","United States","United States","Italy","Italy","Germany","Germany"
"1936","Rowing Men coxed fours","Germany","Germany","Switzerland","Switzerland","France","France"
"1936","Rowing Men coxed pairs","Germany","Germany","Italy","Italy","France","France"
"1936","Rowing Men coxless fours","Germany","Germany","Great Britain","Great Britain","Switzerland","Switzerland"
"1936","Rowing Men coxless pairs","Germany","Germany","Denmark","Denmark","Argentina","Argentina"
"1936","Rowing Men double sculls","Great Britain","Great Britain","Germany","Germany","Poland","Poland"
"1936","Rowing Men single sculls","Gustav Sch_fer","Germany","Josef Hasen_hrl","Austria","Dan Barrow","United States"
"1936","Sailing Mixed 6 metres","Great Britain","Great Britain","Norway","Norway","Sweden","Sweden"
"1936","Sailing Mixed 8 metres","Italy","Italy","Norway","Norway","Germany","Germany"
"1936","Sailing Mixed one person dinghy","Daan Kagchelland","Netherlands","Werner Krogmann","Germany","Peter Scott","Great Britain"
"1936","Sailing Mixed two person keelboat","Germany","Germany","Sweden","Sweden","Netherlands","Netherlands"
"1936","Shooting Men free pistol 50 metres","Torsten Ullman","Sweden","Erich Krempel","Germany","Charles des Jammoni_res","France"
"1936","Shooting Men rapid fire pistol 25 metres","Cornelius van Oyen","Germany","Heinz Hax","Germany","Torsten Ullman","Sweden"
"1936","Shooting Men small bore rifle prone 50 metres","Willy R_geberg","Norway","Ralph Berzsenyi","Hungary","W_adys_aw Kara_","Poland"
"1936","Ski Jumping Men normal hill individual","Birger Ruud","Norway","Sven Eriksson","Sweden","Reidar Andersen","Norway"
"1936","Speed Skating Men 10000 metres","Ivar Ballangrud","Norway","Birger Wasenius","Finland","Max Stiepl","Austria"
"1936","Speed Skating Men 1500 metres","Charles Mathiesen","Norway","Ivar Ballangrud","Norway","Birger Wasenius","Finland"
"1936","Speed Skating Men 500 metres","Ivar Ballangrud","Norway","Georg Krog","Norway","Leo Freisinger","United States"
"1936","Speed Skating Men 5000 metres","Ivar Ballangrud","Norway","Birger Wasenius","Finland","Antero Ojala","Finland"
"1936","Swimming Men 100 metres backstroke","Adolph Kiefer","United States","Al Vande Weghe","United States","Masaji Kiyokawa","Japan"
"1936","Swimming Men 100 metres freestyle","Ferenc Cs_k","Hungary","Masanori Yusa","Japan","Shigeo Arai","Japan"
"1936","Swimming Men 1500 metres freestyle","Noboru Terada","Japan","Jack Medica","United States","Shunpei Uto","Japan"
"1936","Swimming Men 200 metres breaststroke","Tetsuo Hamuro","Japan","Erwin Sietas","Germany","Reizo Koike","Japan"
"1936","Swimming Men 4 x 200 metres freestyle relay","Japan","Japan","United States","United States","Hungary","Hungary"
"1936","Swimming Men 400 metres freestyle","Jack Medica","United States","Shunpei Uto","Japan","Shozo Makino","Japan"
"1936","Swimming Women 100 metres backstroke","Nida Senff","Netherlands","Rie Mastenbroek","Netherlands","Alice Bridges","United States"
"1936","Swimming Women 100 metres freestyle","Rie Mastenbroek","Netherlands","Jeannette Campbell","Argentina","Gisela Jacob-Arendt","Germany"
"1936","Swimming Women 200 metres breaststroke","Hideko Maehata","Japan","Martha Genenger","Germany","Inge S_rensen","Denmark"
"1936","Swimming Women 4 x 100 metres freestyle relay","Netherlands","Netherlands","Germany","Germany","United States","United States"
"1936","Swimming Women 400 metres freestyle","Rie Mastenbroek","Netherlands","Ragnhild Hveger","Denmark","Lenore Kight-Wingard","United States"
"1936","Water Polo Men water polo","Hungary","Hungary","Germany","Germany","Belgium","Belgium"
"1936","Weightlifting Men featherweight","Tony Terlazzo","United States","Saleh Soliman","Egypt","Ibrahim Shams","Egypt"
"1936","Weightlifting Men heavyweight","Josef Manger","Germany","V_clav P_eni_ka, Sr.","Czechoslovakia","Arnold Luha__r","Estonia"
"1936","Weightlifting Men light heavyweight","Louis Hostin","France","Eugen Deutsch","Germany","Wasif Ibrahim","Egypt"
"1936","Weightlifting Men lightweight","['Robert Fein', 'Anwar Mousbah']","['Austria', 'Egypt']",,,"Karl Jansen","Germany"
"1936","Weightlifting Men middleweight","Khadr El-Touni","Egypt","Rudolf Ismayr","Germany","Adolf Wagner","Germany"
"1936","Wrestling Men bantamweight freestyle","_d_n Zombori","Hungary","Ross Flood","United States","Johannes Herbert","Germany"
"1936","Wrestling Men bantamweight greco roman","M_rton L_rincz","Hungary","Egon Svensson","Sweden","Jakob Brendel","Germany"
"1936","Wrestling Men featherweight freestyle","Kustaa Pihlajam_ki","Finland","Frank Millard","United States","G_sta J_nsson-Fr_ndfors","Sweden"
"1936","Wrestling Men featherweight greco roman","Ya_ar Erkan","Turkey","Aarne Reini","Finland","Einar Karlsson","Sweden"
"1936","Wrestling Men heavyweight freestyle","Kristjan Palusalu","Estonia","Josef Klapuch","Czechoslovakia","Hjalmar Nystr_m","Finland"
"1936","Wrestling Men heavyweight greco roman","Kristjan Palusalu","Estonia","John Nyman","Sweden","Kurt Hornfischer","Germany"
"1936","Wrestling Men light heavyweight freestyle","Knut Fridell","Sweden","August Neo","Estonia","Erich Siebert","Germany"
"1936","Wrestling Men light heavyweight greco roman","Axel Cadier","Sweden","Edv_ns Bietags","Latvia","August Neo","Estonia"
"1936","Wrestling Men lightweight freestyle","K_roly K_rp_ti","Hungary","Wolfgang Ehrl","Germany","Hermanni Pihlajam_ki","Finland"
"1936","Wrestling Men lightweight greco roman","Lauri Koskela","Finland","Jozef Herda","Czechoslovakia","Voldemar V_li","Estonia"
"1936","Wrestling Men middleweight freestyle","_mile Poilv_","France","Dick Voliva","United States","Ahmet Kire__i","Turkey"
"1936","Wrestling Men middleweight greco roman","Ivar Johansson","Sweden","Ludwig Schweickert","Germany","J_zsef Palot_s","Hungary"
"1936","Wrestling Men welterweight freestyle","Frank Lewis","United States","Thure Andersson","Sweden","Joe Schleimer","Canada"
"1936","Wrestling Men welterweight greco roman","Rudolf Svedberg","Sweden","Fritz Sch_fer","Germany","Eino Virtanen","Finland"
"1932","Alpinism Mixed alpinism","Germany","Germany",,,,
"1932","Art Competitions Mixed architecture architectural designs","['Pierre Bailly', 'Gustave Saack\xc3\xa9', 'Pierre Montenot']","['France', 'France', 'France']","John Russell Pope","United States","Richard Konwiarz","Germany"
"1932","Art Competitions Mixed architecture designs for town planning","John Hughes","Great Britain","Jens Houm_ller Klemmensen","Denmark","Andr_ Verbeke","Belgium"
"1932","Art Competitions Mixed literature","Paul Bauer","Germany","Josef Petersen","Denmark",,
"1932","Art Competitions Mixed music",,,"Josef Suk","Czechoslovakia",,
"1932","Art Competitions Mixed painting drawings and water colors","Lee Blair","United States","Percy Crosby","United States","Gerard Westerman","Netherlands"
"1932","Art Competitions Mixed painting graphic arts","Joseph Webster Golinkin","United States","Janina Konarska-S_onimska","Poland","Joachim Karsch","Germany"
"1932","Art Competitions Mixed painting paintings","David Wallin","Sweden","Ruth Miller","United States",,
"1932","Art Competitions Mixed sculpturing medals and reliefs","J_zef Klukowski","Poland","Frederick MacMonnies","United States","Tait McKenzie","Canada"
"1932","Art Competitions Mixed sculpturing statues","Mahonri Mackintosh Young","United States","Miltiades Manno","Hungary","Jakub Obrovsk_","Czechoslovakia"
"1932","Athletics Men 100 metres","Eddie Tolan","United States","Ralph Metcalfe","United States","Arthur Jonath","Germany"
"1932","Athletics Men 10000 metres","Janusz Kusoci_ski","Poland","Volmari Iso-Hollo","Finland","Lasse Virtanen","Finland"
"1932","Athletics Men 110 metres hurdles","George Saling","United States","Percy Beard","United States","Don Finlay","Great Britain"
"1932","Athletics Men 1500 metres","Luigi Beccali","Italy","Jerry Cornes","Great Britain","Phil Edwards","Canada"
"1932","Athletics Men 200 metres","Eddie Tolan","United States","George Simpson","United States","Ralph Metcalfe","United States"
"1932","Athletics Men 3000 metres steeplechase","Volmari Iso-Hollo","Finland","Tom Evenson","Great Britain","Joe McCluskey","United States"
"1932","Athletics Men 4 x 100 metres relay","United States","United States","Germany","Germany","Italy","Italy"
"1932","Athletics Men 4 x 400 metres relay","United States","United States","Great Britain","Great Britain","Canada","Canada"
"1932","Athletics Men 400 metres","Bill Carr","United States","Ben Eastman","United States","Alex Wilson","Canada"
"1932","Athletics Men 400 metres hurdles","Bob Tisdall","Ireland","Glenn Hardin","United States","Morgan Taylor","United States"
"1932","Athletics Men 50 kilometres walk","Tommy Green","Great Britain","J_nis D_li__","Latvia","Ugo Frigerio","Italy"
"1932","Athletics Men 5000 metres","Lauri Lehtinen","Finland","Ralph Hill","United States","Lasse Virtanen","Finland"
"1932","Athletics Men 800 metres","Tommy Hampson","Great Britain","Alex Wilson","Canada","Phil Edwards","Canada"
"1932","Athletics Men decathlon","Jim Bausch","United States","Akilles J_rvinen","Finland","Wolrad Eberle","Germany"
"1932","Athletics Men discus throw","John Anderson","United States","Henri LaBorde","United States","Paul Winter","France"
"1932","Athletics Men hammer throw","Pat O'Callaghan","Ireland","Ville P_rh_l_","Finland","Pete Zaremba","United States"
"1932","Athletics Men high jump","Duncan McNaughton","Canada","Bob Van Osdel","United States","Simeon Toribio","Philippines"
"1932","Athletics Men javelin throw","Matti J_rvinen","Finland","Matti Sippala","Finland","Eino Penttil_","Finland"
"1932","Athletics Men long jump","Ed Gordon","United States","Lambert Redd","United States","Chuhei Nanbu","Japan"
"1932","Athletics Men marathon","Juan Carlos Zabala","Argentina","Sam Ferris","Great Britain","Armas Toivonen","Finland"
"1932","Athletics Men pole vault","Bill Miller","United States","Shuhei Nishida","Japan","George Jefferson","United States"
"1932","Athletics Men shot put","Leo Sexton","United States","Harlow Rothert","United States","Franti_ek Douda","Czechoslovakia"
"1932","Athletics Men triple jump","Chuhei Nanbu","Japan","Eric Svensson","Sweden","Kenkichi Oshima","Japan"
"1932","Athletics Women 100 metres","Stanis_awa Walasiewicz","Poland","Hilda Strike","Canada","Billie von Bremen","United States"
"1932","Athletics Women 4 x 100 metres relay","United States","United States","Canada","Canada","Great Britain","Great Britain"
"1932","Athletics Women 80 metres hurdles","Babe Didrikson","United States","Evelyne Hall","United States","Marjorie Clark","South Africa"
"1932","Athletics Women discus throw","Lillian Copeland","United States","Ruth Osburn","United States","Jadwiga Wajs-Marcinkiewicz","Poland"
"1932","Athletics Women high jump","Jean Shiley","United States","Babe Didrikson","United States","Eva Dawes","Canada"
"1932","Athletics Women javelin throw","Babe Didrikson","United States","Ellen Braum_ller","Germany","Tilly Fleischer","Germany"
"1932","Bobsleigh Men four","United States","United States","United States","United States","Germany","Germany"
"1932","Bobsleigh Men two","United States","United States","Switzerland","Switzerland","United States","United States"
"1932","Boxing Men bantamweight","Lefty Gwynne","Canada","Hans Ziglarski","Germany","Jos_ Luis Villanueva","Philippines"
"1932","Boxing Men featherweight","Carmelo Robledo","Argentina","Josef Schleinkofer","Germany","Allan Carlsson","Sweden"
"1932","Boxing Men flyweight","Istv_n _nekes","Hungary","Francisco Caba_as","Mexico","Lou Salica","United States"
"1932","Boxing Men heavyweight","Alberto Lovell","Argentina","Luigi Rovati","Italy","Fred Feary","United States"
"1932","Boxing Men light heavyweight","Dave Carstens","South Africa","Gino Rossi","Italy","Peter J_rgensen","Denmark"
"1932","Boxing Men lightweight","Laurie Stevens","South Africa","Thure Ahlqvist","Sweden","Nat Bor","United States"
"1932","Boxing Men middleweight","Carmen Barth","United States","Amado Azar","Argentina","Eddie Peirce","South Africa"
"1932","Boxing Men welterweight","Eddie Flynn","United States","Erich Campe","Germany","Bruno Ahlberg","Finland"
"1932","Cross Country Skiing Men 18 kilometres","Sven Utterstr_m","Sweden","Axel Wikstr_m","Sweden","Veli Saarinen","Finland"
"1932","Cross Country Skiing Men 50 kilometres","Veli Saarinen","Finland","V_in_ Liikkanen","Finland","Arne Rustadstuen","Norway"
"1932","Cycling Men 1000 metres time trial","Dunc Gray","Australia","Jacques van Egmond","Netherlands","Charles Rampelberg","France"
"1932","Cycling Men road race individual","Attilio Pavesi","Italy","Guglielmo Segato","Italy","Bernhard Britz","Sweden"
"1932","Cycling Men road race team","Italy","Italy","Denmark","Denmark","Sweden","Sweden"
"1932","Cycling Men sprint","Jacques van Egmond","Netherlands","Louis Chaillot","France","Bruno Pellizzari","Italy"
"1932","Cycling Men tandem sprint 2000 metres","France","France","Great Britain","Great Britain","Denmark","Denmark"
"1932","Cycling Men team pursuit 4000 metres","Italy","Italy","France","France","Great Britain","Great Britain"
"1932","Diving Men platform","Harold Smith","United States","Mickey Galitzen","United States","Frank Kurtz","United States"
"1932","Diving Men springboard","Mickey Galitzen","United States","Harold Smith","United States","Dick Degener","United States"
"1932","Diving Women platform","Dorothy Poynton-Hill","United States","Georgia Coleman","United States","Marion Roper","United States"
"1932","Diving Women springboard","Georgia Coleman","United States","Katherine Rawls","United States","Jane Fauntz","United States"
"1932","Equestrianism Men dressage individual","Xavier Lesage","France","Charles Marion","France","Hiram Tuttle","United States"
"1932","Equestrianism Men dressage team","France","France","Sweden","Sweden","United States","United States"
"1932","Equestrianism Men jumping individual","Takeichi, Baron Nishi","Japan","Harry Chamberlin","United States","Clarence von Rosen, Jr.","Sweden"
"1932","Equestrianism Men three day event individual","Charles Pahud de Mortanges","Netherlands","Earl Thomson","United States","Clarence von Rosen, Jr.","Sweden"
"1932","Equestrianism Men three day event team","United States","United States","Netherlands","Netherlands",,
"1932","Fencing Men epee individual","Giancarlo Cornaggia-Medici","Italy","G_o Buchard","France","Carlo Agostoni","Italy"
"1932","Fencing Men epee team","France","France","Italy","Italy","United States","United States"
"1932","Fencing Men foil individual","Gustavo Marzi","Italy","Joe Levis","United States","Giulio Gaudini","Italy"
"1932","Fencing Men foil team","France","France","Italy","Italy","United States","United States"
"1932","Fencing Men sabre individual","Gy_rgy Piller","Hungary","Giulio Gaudini","Italy","Endre Kabos","Hungary"
"1932","Fencing Men sabre team","Hungary","Hungary","Italy","Italy","Poland","Poland"
"1932","Fencing Women foil individual","Ellen M_ller-Preis","Austria","Judy Guinness Penn-Hughes","Great Britain","Erna Bogen-Bog_ti","Hungary"
"1932","Figure Skating Men singles","Karl Sch_fer","Austria","Gillis Grafstr_m","Sweden","Bud Wilson","Canada"
"1932","Figure Skating Mixed pairs","France","France","United States","United States","Hungary","Hungary"
"1932","Figure Skating Women singles","Sonja Henie","Norway","Fritzi Burger","Austria","Maribel Vinson","United States"
"1932","Gymnastics Men club swinging","George Roth","United States","Phil Erenberg","United States","Bill Kuhlemeier","United States"
"1932","Gymnastics Men floor exercise","Istv_n Pelle","Hungary","Georges Miez","Switzerland","Mario Lertora","Italy"
"1932","Gymnastics Men horizontal bar","Dallas Bixler","United States","Heikki Savolainen","Finland","Einari Ter_svirta","Finland"
"1932","Gymnastics Men horse vault","Savino Guglielmetti","Italy","Al Jochim","United States","Ed Carmichael","United States"
"1932","Gymnastics Men individual all around","Romeo Neri","Italy","Istv_n Pelle","Hungary","Heikki Savolainen","Finland"
"1932","Gymnastics Men parallel bars","Romeo Neri","Italy","Istv_n Pelle","Hungary","Heikki Savolainen","Finland"
"1932","Gymnastics Men pommelled horse","Istv_n Pelle","Hungary","Omero Bonoli","Italy","Frank Haubold","United States"
"1932","Gymnastics Men rings","George Gulack","United States","Tom Denton","United States","Giovanni Lattuada","Italy"
"1932","Gymnastics Men rope climbing","Benny Bass","United States","Jack Galbraith","United States","Tom Connolly","United States"
"1932","Gymnastics Men team all around","Italy","Italy","United States","United States","Finland","Finland"
"1932","Gymnastics Men tumbling","Rowland Wolfe","United States","Ed Gross","United States","Bill Hermann","United States"
"1932","Hockey Men hockey","India","India","Japan","Japan","United States","United States"
"1932","Ice Hockey Men ice hockey","Canada","Canada","United States","United States","Germany","Germany"
"1932","Modern Pentathlon Men individual","Johan Oxenstierna","Sweden","Bo Lindman","Sweden","Richard Mayo","United States"
"1932","Nordic Combined Men individual","Johan Gr_ttumsbraaten","Norway","Ole Stenen","Norway","Hans Vinjarengen","Norway"
"1932","Rowing Men coxed eights","United States","United States","Italy","Italy","Canada","Canada"
"1932","Rowing Men coxed fours","Germany","Germany","Italy","Italy","Poland","Poland"
"1932","Rowing Men coxed pairs","United States","United States","Poland","Poland","France","France"
"1932","Rowing Men coxless fours","Great Britain","Great Britain","Germany","Germany","Italy","Italy"
"1932","Rowing Men coxless pairs","Great Britain","Great Britain","New Zealand","New Zealand","Poland","Poland"
"1932","Rowing Men double sculls","United States","United States","Germany","Germany","Canada","Canada"
"1932","Rowing Men single sculls","Bobby Pearce","Australia","Bill Miller","United States","Guillermo Douglas","Uruguay"
"1932","Sailing Mixed 6 metres","Sweden","Sweden","United States","United States","Canada","Canada"
"1932","Sailing Mixed 8 metres","United States","United States","Canada","Canada",,
"1932","Sailing Mixed one person dinghy","Jacques Baptiste Lebrun","France","Bob Maas","Netherlands","Santiago Amat","Spain"
"1932","Sailing Mixed two person keelboat","United States","United States","Great Britain","Great Britain","Sweden","Sweden"
"1932","Shooting Men rapid fire pistol 25 metres","Renzo Morigi","Italy","Heinz Hax","Germany","Domenico Matteucci","Italy"
"1932","Shooting Men small bore rifle prone 50 metres","Bertil R_nnmark","Sweden","Gustavo Huet","Mexico","Zolt_n So_s-Ruszka Hradetzky","Hungary"
"1932","Ski Jumping Men normal hill individual","Birger Ruud","Norway","Hans Beck","Norway","K_re Walberg","Norway"
"1932","Speed Skating Men 10000 metres","Irving Jaffee","United States","Ivar Ballangrud","Norway","Frank Stack","Canada"
"1932","Speed Skating Men 1500 metres","Jack Shea","United States","Alex Hurd","Canada","Willy Logan","Canada"
"1932","Speed Skating Men 500 metres","Jack Shea","United States","Bernt Evensen","Norway","Alex Hurd","Canada"
"1932","Speed Skating Men 5000 metres","Irving Jaffee","United States","Eddie Murphy","United States","Willy Logan","Canada"
"1932","Swimming Men 100 metres backstroke","Masaji Kiyokawa","Japan","Toshio Irie","Japan","Kentaro Kawatsu","Japan"
"1932","Swimming Men 100 metres freestyle","Yasuji Miyazaki","Japan","Tatsugo Kawaishi","Japan","Albert Schwartz","United States"
"1932","Swimming Men 1500 metres freestyle","Kuzuo Kitamura","Japan","Shozo Makino","Japan","Jim Cristy","United States"
"1932","Swimming Men 200 metres breaststroke","Yoshiyuki Tsuruta","Japan","Reizo Koike","Japan","Te_filo Yldefonso","Philippines"
"1932","Swimming Men 4 x 200 metres freestyle relay","Japan","Japan","United States","United States","Hungary","Hungary"
"1932","Swimming Men 400 metres freestyle","Buster Crabbe","United States","Jean Taris","France","Tsutomi Oyokota","Japan"
"1932","Swimming Women 100 metres backstroke","Eleanor Holm","United States","Bonnie Mealing","Australia","Valerie Davies","Great Britain"
"1932","Swimming Women 100 metres freestyle","Helene Madison","United States","Willy den Ouden","Netherlands","Eleanor Garatti-Saville","United States"
"1932","Swimming Women 200 metres breaststroke","Clare Dennis","Australia","Hideko Maehata","Japan","Else Jacobsen","Denmark"
"1932","Swimming Women 4 x 100 metres freestyle relay","United States","United States","Netherlands","Netherlands","Great Britain","Great Britain"
"1932","Swimming Women 400 metres freestyle","Helene Madison","United States","Lenore Kight-Wingard","United States","Jenny Maakal","South Africa"
"1932","Water Polo Men water polo","Hungary","Hungary","Germany","Germany","United States","United States"
"1932","Weightlifting Men featherweight","Raymond Suvigny","France","Hans W_lpert","Germany","Tony Terlazzo","United States"
"1932","Weightlifting Men heavyweight","Jaroslav Skobla","Czechoslovakia","V_clav P_eni_ka, Sr.","Czechoslovakia","Josef Stra_berger","Germany"
"1932","Weightlifting Men light heavyweight","Louis Hostin","France","Svend Olsen","Denmark","Henry Duey","United States"
"1932","Weightlifting Men lightweight","Ren_ Duverger","France","Hans Haas","Austria","Gastone Pierini","Italy"
"1932","Weightlifting Men middleweight","Rudolf Ismayr","Germany","Carlo Galimberti","Italy","Karl Hipfinger","Austria"
"1932","Wrestling Men bantamweight freestyle","Bob Pearce","United States","_d_n Zombori","Hungary","Aatos Jaskari","Finland"
"1932","Wrestling Men bantamweight greco roman","Jakob Brendel","Germany","Marcello Nizzola","Italy","Louis Fran_ois","France"
"1932","Wrestling Men featherweight freestyle","Hermanni Pihlajam_ki","Finland","Ed Nemir","United States","Einar Karlsson","Sweden"
"1932","Wrestling Men featherweight greco roman","Giovanni Gozzi","Italy","Wolfgang Ehrl","Germany","Lauri Koskela","Finland"
"1932","Wrestling Men heavyweight freestyle","Johan Richthoff","Sweden","Jack Riley","United States","Nikolaus Hirschl","Austria"
"1932","Wrestling Men heavyweight greco roman","Carl Westergren","Sweden","Josef Urban","Czechoslovakia","Nikolaus Hirschl","Austria"
"1932","Wrestling Men light heavyweight freestyle","Peter Mehringer","United States","Thure Sj_stedt","Sweden","Eddie Scarf","Australia"
"1932","Wrestling Men light heavyweight greco roman","Rudolf Svensson","Sweden","Onni Pellinen","Finland","Mario Gruppioni","Italy"
"1932","Wrestling Men lightweight freestyle","Charles Pac_me","France","K_roly K_rp_ti","Hungary","Gustaf Klar_n","Sweden"
"1932","Wrestling Men lightweight greco roman","Erik Malmberg","Sweden","Abraham Kurland","Denmark","Ede Sperling","Germany"
"1932","Wrestling Men middleweight freestyle","Ivar Johansson","Sweden","Ky_sti Luukko","Finland","J_zsef Tunyogi","Hungary"
"1932","Wrestling Men middleweight greco roman","V_in_ Kokkinen","Finland","Jean F_ldeak","Germany","Axel Cadier","Sweden"
"1932","Wrestling Men welterweight freestyle","Jack VanBebber","United States","Danny McDonald","Canada","Eino Leino","Finland"
"1932","Wrestling Men welterweight greco roman","Ivar Johansson","Sweden","V_in_ Kajander","Finland","Ercole Gallegati","Italy"
"1928","Art Competitions Mixed architecture architectural designs","Jan Wils","Netherlands","Ejnar Mindedal Rasmussen","Denmark","Jacques Lambert","France"
"1928","Art Competitions Mixed architecture designs for town planning","Alfred Hensel","Germany","Jacques Lambert","France","Max Laeuger","Germany"
"1928","Art Competitions Mixed literature dramatic works",,,"Lauro De Bosis","Italy",,
"1928","Art Competitions Mixed literature epic works","Ferenc Mez_","Hungary","Ernst Wei_","Germany","['Carel Scharten', 'Margo Scharten-Antink']","['Netherlands', 'Netherlands']"
"1928","Art Competitions Mixed literature lyric works","Kazimierz Wierzy_ski","Poland","Rudolf Binding","Germany","Johannes Weltzer","Denmark"
"1928","Art Competitions Mixed music compositions for orchestra",,,,,"Rudolf Simonsen","Denmark"
"1928","Art Competitions Mixed painting drawings and water colors","Jean Jacoby","Luxembourg","Alex Virot","France","W_adys_aw Skoczylas","Poland"
"1928","Art Competitions Mixed painting graphic arts","William Nicholson","Great Britain","Carl Moos","Switzerland","Max Feldbauer","Germany"
"1928","Art Competitions Mixed painting paintings","Isaac Isra_ls","Netherlands","Laura Knight","Great Britain","Walther Klemm","Germany"
"1928","Art Competitions Mixed sculpturing medals and reliefs","Edwin Grienauer","Austria","Chris van der Hoef","Netherlands","Edwin Scharff","Germany"
"1928","Art Competitions Mixed sculpturing statues","Paul Landowski","France","Milo Martin","Switzerland","Ren_e Sintenis","Germany"
"1928","Athletics Men 100 metres","Percy Williams","Canada","Jack London","Great Britain","Georg Lammers","Germany"
