Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1968","Gymnastics Men parallel bars","Akinori Nakayama","Japan","Mikhail Voronin","Soviet Union","Viktor Klimenko","Soviet Union"
"1968","Gymnastics Men pommelled horse","Miroslav Cerar","Yugoslavia","Olli Laiho","Finland","Mikhail Voronin","Soviet Union"
"1968","Gymnastics Men rings","Akinori Nakayama","Japan","Mikhail Voronin","Soviet Union","Sawao Kato","Japan"
"1968","Gymnastics Men team all around","Japan","Japan","Soviet Union","Soviet Union","East Germany","East Germany"
"1968","Gymnastics Women balance beam","Nataliya Kuchinskaya","Soviet Union","V_ra __slavsk_","Czechoslovakia","Larisa Petrik","Soviet Union"
"1968","Gymnastics Women floor exercise","['V\xc4\x9bra \xc4\x8c\xc3\xa1slavsk\xc3\xa1', 'Larisa Petrik']","['Czechoslovakia', 'Soviet Union']",,,"Nataliya Kuchinskaya","Soviet Union"
"1968","Gymnastics Women horse vault","V_ra __slavsk_","Czechoslovakia","Erika Zuchold","East Germany","Zinaida Voronina","Soviet Union"
"1968","Gymnastics Women individual all around","V_ra __slavsk_","Czechoslovakia","Zinaida Voronina","Soviet Union","Nataliya Kuchinskaya","Soviet Union"
"1968","Gymnastics Women team all around","Soviet Union","Soviet Union","Czechoslovakia","Czechoslovakia","East Germany","East Germany"
"1968","Gymnastics Women uneven bars","V_ra __slavsk_","Czechoslovakia","Karin Janz","East Germany","Zinaida Voronina","Soviet Union"
"1968","Hockey Men hockey","Pakistan","Pakistan","Australia","Australia","India","India"
"1968","Ice Hockey Men ice hockey","Soviet Union","Soviet Union","Czechoslovakia","Czechoslovakia","Canada","Canada"
"1968","Luge Men singles","Manfred Schmid","Austria","Thomas K_hler","East Germany","Klaus-Michael Bonsack","East Germany"
"1968","Luge Mixed Men doubles","East Germany","East Germany","Austria","Austria","West Germany","West Germany"
"1968","Luge Women singles","Erika Lechner","Italy","Christa Schmuck","West Germany","Angelika D_nhaupt","West Germany"
"1968","Modern Pentathlon Men individual","Bj_rn Ferm","Sweden","Andr_s Balcz_","Hungary","Pavel Lednyov","Soviet Union"
"1968","Modern Pentathlon Men team","Hungary","Hungary","Soviet Union","Soviet Union","France","France"
"1968","Nordic Combined Men individual","Franz Keller","West Germany","Alois K_lin","Switzerland","Andreas Kunz","East Germany"
"1968","Rowing Men coxed eights","West Germany","West Germany","Australia","Australia","Soviet Union","Soviet Union"
"1968","Rowing Men coxed fours","New Zealand","New Zealand","East Germany","East Germany","Switzerland","Switzerland"
"1968","Rowing Men coxed pairs","Italy","Italy","Netherlands","Netherlands","Denmark","Denmark"
"1968","Rowing Men coxless fours","East Germany","East Germany","Hungary","Hungary","Italy","Italy"
"1968","Rowing Men coxless pairs","East Germany","East Germany","United States","United States","Denmark","Denmark"
"1968","Rowing Men double sculls","Soviet Union","Soviet Union","Netherlands","Netherlands","United States","United States"
"1968","Rowing Men single sculls","Jan Wienese","Netherlands","Jochen Mei_ner","West Germany","Alberto Demiddi","Argentina"
"1968","Sailing Mixed 5_5 metres","Sweden","Sweden","Switzerland","Switzerland","Great Britain","Great Britain"
"1968","Sailing Mixed one person dinghy","Valentyn Mankin","Soviet Union","Hubert Raudaschl","Austria","Fabio Albarelli","Italy"
"1968","Sailing Mixed three person keelboat","United States","United States","Denmark","Denmark","East Germany","East Germany"
"1968","Sailing Mixed two person heavyweight dinghy","Great Britain","Great Britain","West Germany","West Germany","Brazil","Brazil"
"1968","Sailing Mixed two person keelboat","United States","United States","Norway","Norway","Italy","Italy"
"1968","Shooting Mixed free pistol 50 metres","Grigory Kosykh","Soviet Union","Heinz Mertel","West Germany","Harald Vollmar","East Germany"
"1968","Shooting Mixed free rifle three positions 300 metres","Gary Anderson","United States","Valentin Kornev","Soviet Union","Kurt M_ller","Switzerland"
"1968","Shooting Mixed rapid fire pistol 25 metres","J_zef Zap_dzki","Poland","Marcel Ro_ca","Romania","Renart Suleymanov","Soviet Union"
"1968","Shooting Mixed skeet","Yevgeny Petrov","Soviet Union","Romano Garagnani","Italy","Konrad Wirnhier","West Germany"
"1968","Shooting Mixed small bore rifle prone 50 metres","Jan K_rka","Czechoslovakia","L_szl_ Hammerl","Hungary","Ian Ballinger","New Zealand"
"1968","Shooting Mixed small bore rifle three positions 50 metres","Bernd Klingner","West Germany","John Writer","United States","Vitaly Parkhimovich","Soviet Union"
"1968","Shooting Mixed trap","Bob Braithwaite","Great Britain","Tom Garrigus","United States","Kurt Czekalla","East Germany"
